,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1457,CHEMBL2092978,CCC[C@]1(CCc2ccccc2)CC(=O)C([C@@H](CC)c2cccc(NS(=O)(=O)c3cn(C)cn3)c2)=C(O)O1,active,559.6880000000002,6.178380000000006,2.0,7.0,6.0
1458,CHEMBL96857,CC(C)(C)NC(=O)c1cc(C(C)(C)C)ccc1CCC(O)Cc1ccc(C(C)(C)C)cc1C(=O)NC(C)(C)C,active,515.6950000000002,3.269100000000001,3.0,6.0,5.154901959985743
1459,,,,544.0920000000002,3.1424600000000016,4.0,5.0,
1460,CHEMBL304086,CCC(CC)NC(=O)C[C@@H](C(=O)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccc2ccccc2n1)C(C)C)C(C)(C)C,active,516.0380000000002,2.52562,4.0,5.0,8.602059991327963
1461,CHEMBL320671,CC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(F)cc1)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C,active,482.66500000000025,4.894600000000005,3.0,4.0,7.552841968657781
1462,CHEMBL106748,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)N2CCCCC2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)N2CCCCC2)SC1(C)C,active,555.6720000000003,5.784300000000005,2.0,7.0,8.161150909262744
1463,CHEMBL320050,CC1(C)S[C@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCC2CCCCC2)N[C@H]1C(=O)NCCNC(=O)[C@@H]1N[C@@H]([C@H](NC(=O)Cc2ccccc2)C(=O)NCC2CCCCC2)SC1(C)C,active,559.6880000000002,6.178380000000006,2.0,7.0,7.3979400086720375
1464,CHEMBL107748,CCNC(=O)[C@@H](NC(=O)c1ccccc1-c1ccccc1)[C@@H]1N[C@@H](C(=O)NCCNC(=O)[C@@H]2N[C@@H]([C@H](NC(=O)c3ccccc3-c3ccccc3)C(=O)NCC)SC2(C)C)C(C)(C)S1,active,544.0920000000001,3.1424600000000016,4.0,5.0,8.00436480540245
1465,CHEMBL68721,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC(=O)[C@H](CC(=O)NC(C)(C)C)C(C)(C)C,active,502.65500000000026,5.048700000000005,3.0,4.0,8.522878745280337
1466,CHEMBL1790508,CCC(CC)NC(=O)C[C@@H](C(=O)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1cnc2ccccc2n1)[C@H](C)O)C(C)(C)C,active,572.702,3.8873000000000033,4.0,6.0,8.522878745280337
